# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.001         	1.572209e-04	2.211895e+02	3.263534e-04	3.203976e-04	5.955752e-06
0.002         	-5.286617e-04	-1.099738e+02	-1.079080e-03	-1.068201e-03	-1.087803e-05
0.003         	7.425960e-05	2.449656e-01	1.482203e-04	1.483697e-04	-1.494575e-07
0.004         	3.082895e-05	4.182696e-01	6.489639e-05	6.327714e-05	1.619244e-06
0.005         	1.311457e-05	5.088383e-01	2.875205e-05	2.749059e-05	1.261461e-06
0.006         	1.910806e-05	5.065279e-01	3.974947e-05	3.898280e-05	7.666731e-07
0.007         	1.554217e-05	4.819564e-01	3.009699e-05	3.059067e-05	-4.936771e-07
0.008         	1.220077e-05	4.603277e-01	2.388650e-05	2.414402e-05	-2.575151e-07
0.009         	9.859213e-06	4.438988e-01	1.915985e-05	1.943914e-05	-2.792870e-07
0.01          	8.359051e-06	4.298730e-01	1.619375e-05	1.645593e-05	-2.621753e-07
0.011         	7.188379e-06	4.165561e-01	1.379454e-05	1.408565e-05	-2.911096e-07
0.012         	6.222198e-06	4.034466e-01	1.187195e-05	1.215817e-05	-2.862247e-07
0.013         	5.504835e-06	3.906075e-01	1.049029e-05	1.074998e-05	-2.596888e-07
0.014         	4.874623e-06	3.781803e-01	9.275145e-06	9.512195e-06	-2.370502e-07
0.015         	4.341538e-06	3.662762e-01	8.201299e-06	8.442188e-06	-2.408889e-07
0.016         	3.910109e-06	3.549421e-01	7.410147e-06	7.615182e-06	-2.050352e-07
0.017         	3.506645e-06	3.441847e-01	6.542284e-06	6.777787e-06	-2.355029e-07
0.018         	3.176970e-06	3.339919e-01	5.980652e-06	6.167295e-06	-1.866439e-07
0.019         	2.846072e-06	3.243612e-01	5.218149e-06	5.455146e-06	-2.369971e-07
0.02          	2.606639e-06	3.152444e-01	4.701222e-06	4.957250e-06	-2.560277e-07
0.021         	2.394326e-06	3.066169e-01	4.310003e-06	4.549327e-06	-2.393243e-07
0.022         	2.217894e-06	2.984708e-01	3.950144e-06	4.192966e-06	-2.428214e-07
0.023         	2.064084e-06	2.907611e-01	3.741077e-06	3.934622e-06	-1.935449e-07
0.024         	1.917398e-06	2.834596e-01	3.499796e-06	3.667296e-06	-1.674999e-07
0.025         	1.764469e-06	2.765445e-01	3.307307e-06	3.418122e-06	-1.108154e-07
0.026         	1.600889e-06	2.699960e-01	2.834526e-06	3.018152e-06	-1.836261e-07
0.027         	1.518360e-06	2.637874e-01	2.707472e-06	2.872096e-06	-1.646237e-07
0.028         	1.436850e-06	2.578940e-01	2.575368e-06	2.724534e-06	-1.491655e-07
0.029         	1.353957e-06	2.522905e-01	2.434360e-06	2.571136e-06	-1.367769e-07
0.03          	1.276083e-06	2.469809e-01	2.318764e-06	2.435466e-06	-1.167012e-07
0.031         	1.201932e-06	2.419251e-01	2.136784e-06	2.270324e-06	-1.335398e-07
0.032         	1.129072e-06	2.371161e-01	1.941302e-06	2.099724e-06	-1.584213e-07
0.033         	1.080906e-06	2.325360e-01	1.954387e-06	2.058099e-06	-1.037121e-07
0.034         	1.018194e-06	2.281666e-01	1.726568e-06	1.881478e-06	-1.549102e-07
0.035         	1.002939e-06	2.240070e-01	1.736668e-06	1.871273e-06	-1.346056e-07
0.036         	9.536565e-07	2.200353e-01	1.598748e-06	1.753031e-06	-1.542824e-07
0.037         	9.212559e-07	2.162230e-01	1.609370e-06	1.725941e-06	-1.165710e-07
0.038         	8.687814e-07	2.125809e-01	1.451480e-06	1.594521e-06	-1.430416e-07
0.039         	8.544179e-07	2.090843e-01	1.450018e-06	1.579427e-06	-1.294092e-07
0.04          	8.016322e-07	2.057440e-01	1.363188e-06	1.483226e-06	-1.200382e-07
0.041         	7.899083e-07	2.025353e-01	1.357413e-06	1.468615e-06	-1.112019e-07
0.042         	7.974631e-07	1.994551e-01	1.360681e-06	1.477804e-06	-1.171227e-07
0.043         	8.798074e-07	1.965097e-01	1.888212e-06	1.823913e-06	6.429839e-08
0.044         	8.481802e-07	1.936694e-01	1.780832e-06	1.738596e-06	4.223594e-08
0.045         	7.238268e-07	1.909343e-01	1.158843e-06	1.303248e-06	-1.444054e-07
0.046         	8.246484e-07	1.882972e-01	1.763195e-06	1.706246e-06	5.694889e-08
0.047         	7.853325e-07	1.857620e-01	1.555887e-06	1.563276e-06	-7.388941e-09
0.048         	7.593852e-07	1.833335e-01	1.560798e-06	1.539784e-06	2.101360e-08
0.049         	7.285543e-07	1.809957e-01	1.382250e-06	1.419679e-06	-3.742912e-08
0.05          	7.198574e-07	1.787251e-01	1.402735e-06	1.421225e-06	-1.848974e-08
0.051         	6.824981e-07	1.765376e-01	1.297791e-06	1.331393e-06	-3.360276e-08
0.052         	6.714535e-07	1.744237e-01	1.284017e-06	1.313462e-06	-2.944488e-08
0.053         	6.544912e-07	1.723748e-01	1.273794e-06	1.291388e-06	-1.759423e-08
0.054         	6.415088e-07	1.703912e-01	1.236651e-06	1.259834e-06	-2.318349e-08
0.055         	6.169751e-07	1.684722e-01	1.142113e-06	1.188032e-06	-4.591839e-08
0.056         	6.055469e-07	1.666149e-01	1.253262e-06	1.232178e-06	2.108408e-08
0.057         	6.022580e-07	1.648135e-01	1.230905e-06	1.217710e-06	1.319427e-08
0.058         	5.598962e-07	1.630746e-01	9.904881e-07	1.055140e-06	-6.465211e-08
0.059         	5.703195e-07	1.613801e-01	1.109149e-06	1.124894e-06	-1.574501e-08
0.06          	5.560852e-07	1.597418e-01	1.083425e-06	1.097798e-06	-1.437281e-08
0.061         	5.425507e-07	1.581505e-01	1.047169e-06	1.066135e-06	-1.896628e-08
0.062         	5.379125e-07	1.566115e-01	1.080069e-06	1.077947e-06	2.121866e-09
0.063         	5.201077e-07	1.551082e-01	9.994801e-07	1.019848e-06	-2.036765e-08
0.064         	5.254234e-07	1.536469e-01	1.040117e-06	1.045482e-06	-5.365052e-09
0.065         	5.189083e-07	1.522265e-01	1.032359e-06	1.035088e-06	-2.728657e-09
0.066         	4.853654e-07	1.508438e-01	9.617295e-07	9.662301e-07	-4.500608e-09
0.067         	4.629760e-07	1.494968e-01	9.192430e-07	9.225975e-07	-3.354528e-09
0.068         	4.561634e-07	1.481898e-01	8.922009e-07	9.022638e-07	-1.006291e-08
0.069         	4.447301e-07	1.469151e-01	8.781246e-07	8.837924e-07	-5.667836e-09
0.07          	4.325737e-07	1.456718e-01	8.333443e-07	8.492459e-07	-1.590156e-08
0.071         	4.162774e-07	1.444587e-01	7.993611e-07	8.159579e-07	-1.659681e-08
0.072         	4.082066e-07	1.432769e-01	7.696502e-07	7.930317e-07	-2.338144e-08
0.073         	4.050518e-07	1.421309e-01	7.911374e-07	8.006205e-07	-9.483159e-09
0.074         	3.896136e-07	1.410069e-01	7.048021e-07	7.420147e-07	-3.721259e-08
0.075         	3.821383e-07	1.399112e-01	7.262019e-07	7.452393e-07	-1.903734e-08
0.076         	3.687092e-07	1.388399e-01	6.652108e-07	7.013146e-07	-3.610376e-08
0.077         	3.646006e-07	1.377937e-01	6.867347e-07	7.079679e-07	-2.123323e-08
0.078         	3.543323e-07	1.367715e-01	6.612431e-07	6.849539e-07	-2.371076e-08
0.079         	3.491122e-07	1.357729e-01	6.583089e-07	6.782667e-07	-1.995779e-08
0.08          	3.428607e-07	1.347980e-01	6.464987e-07	6.661100e-07	-1.961132e-08
0.081         	3.325856e-07	1.338446e-01	6.145175e-07	6.398444e-07	-2.532690e-08
0.082         	3.256472e-07	1.329106e-01	5.880696e-07	6.196820e-07	-3.161239e-08
0.083         	3.257116e-07	1.319980e-01	5.982210e-07	6.248220e-07	-2.660106e-08
0.084         	3.156385e-07	1.311061e-01	5.896482e-07	6.104626e-07	-2.081442e-08
0.085         	3.108291e-07	1.302321e-01	5.753045e-07	5.984814e-07	-2.317685e-08
0.086         	3.006519e-07	1.293752e-01	5.403696e-07	5.708367e-07	-3.046708e-08
0.087         	2.926934e-07	1.285379e-01	5.256647e-07	5.555257e-07	-2.986099e-08
0.088         	2.886496e-07	1.277170e-01	5.185476e-07	5.479233e-07	-2.937578e-08
0.089         	2.768927e-07	1.269123e-01	4.817932e-07	5.177893e-07	-3.599606e-08
0.09          	2.759617e-07	1.261234e-01	4.880126e-07	5.199680e-07	-3.195536e-08
0.091         	2.651273e-07	1.253517e-01	4.495610e-07	4.899078e-07	-4.034685e-08
0.092         	2.567551e-07	1.245924e-01	4.173188e-07	4.654145e-07	-4.809570e-08
0.093         	2.563009e-07	1.238496e-01	4.287057e-07	4.706538e-07	-4.194805e-08
0.094         	2.505165e-07	1.231211e-01	4.121443e-07	4.565887e-07	-4.444435e-08
0.095         	2.448893e-07	1.224066e-01	4.014041e-07	4.455913e-07	-4.418726e-08
0.096         	2.502674e-07	1.217060e-01	4.266344e-07	4.635846e-07	-3.695013e-08
0.097         	2.464404e-07	1.210191e-01	4.128725e-07	4.528766e-07	-4.000410e-08
0.098         	2.421332e-07	1.203420e-01	4.148489e-07	4.495577e-07	-3.470874e-08
0.099         	2.386918e-07	1.196786e-01	3.999437e-07	4.386637e-07	-3.871997e-08
0.1           	2.354070e-07	1.190283e-01	3.981370e-07	4.344755e-07	-3.633852e-08
0.101         	2.402624e-07	1.183867e-01	4.217468e-07	4.511358e-07	-2.938899e-08
0.102         	2.250598e-07	1.177587e-01	3.657470e-07	4.079333e-07	-4.218630e-08
0.103         	2.250792e-07	1.171416e-01	3.832825e-07	4.167205e-07	-3.343800e-08
0.104         	2.415503e-07	1.165351e-01	4.321891e-07	4.576449e-07	-2.545580e-08
0.105         	2.206826e-07	1.159388e-01	3.573936e-07	3.993794e-07	-4.198580e-08
0.106         	2.428556e-07	1.153524e-01	4.585545e-07	4.721329e-07	-1.357839e-08
0.107         	2.364190e-07	1.147768e-01	4.433349e-07	4.580865e-07	-1.475160e-08
0.108         	2.337081e-07	1.142106e-01	4.423462e-07	4.548812e-07	-1.253506e-08
0.109         	2.253212e-07	1.136537e-01	3.934692e-07	4.220558e-07	-2.858659e-08
0.11          	2.192722e-07	1.131060e-01	3.878732e-07	4.132088e-07	-2.533556e-08
0.111         	2.217963e-07	1.125652e-01	4.035787e-07	4.235856e-07	-2.000693e-08
0.112         	2.164752e-07	1.120338e-01	3.889879e-07	4.109691e-07	-2.198124e-08
0.113         	2.132500e-07	1.115115e-01	3.771797e-07	4.018398e-07	-2.466011e-08
0.114         	2.111452e-07	1.109988e-01	3.750386e-07	3.986645e-07	-2.362591e-08
0.115         	2.065356e-07	1.104913e-01	3.608614e-07	3.869663e-07	-2.610486e-08
0.116         	2.013460e-07	1.099934e-01	3.509023e-07	3.767971e-07	-2.589483e-08
0.117         	1.982007e-07	1.095036e-01	3.479900e-07	3.721957e-07	-2.420567e-08
0.118         	1.965470e-07	1.090205e-01	3.385115e-07	3.658027e-07	-2.729120e-08
0.119         	1.907110e-07	1.085455e-01	3.317510e-07	3.565865e-07	-2.483550e-08
0.12          	1.888779e-07	1.080768e-01	3.171161e-07	3.474359e-07	-3.031985e-08
0.121         	1.838437e-07	1.076163e-01	2.935047e-07	3.305961e-07	-3.709142e-08
0.122         	1.831354e-07	1.071598e-01	3.205257e-07	3.433982e-07	-2.287252e-08
0.123         	1.771768e-07	1.067111e-01	2.957736e-07	3.250636e-07	-2.929001e-08
0.124         	1.776318e-07	1.062705e-01	2.905006e-07	3.228820e-07	-3.238147e-08
0.125         	1.745853e-07	1.058349e-01	2.847851e-07	3.169778e-07	-3.219277e-08
0.126         	1.655352e-07	1.054046e-01	2.678210e-07	2.994456e-07	-3.162467e-08
0.127         	1.638143e-07	1.049814e-01	2.623569e-07	2.949927e-07	-3.263579e-08
0.128         	1.607746e-07	1.045649e-01	2.711149e-07	2.963320e-07	-2.521710e-08
